tag=opt3_scanchunkwise_b512_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
       triton_poi_fused_bitwise_not_masked_fill_view_15         0.36%     226.889us         0.62%     385.652us      48.206us     227.367us         0.41%     227.367us      28.421us             8  [[1, 4, 512, 512], [1, 4, 512, 512], [1, 4, 512, 512], [1, 4, 512, 512], [512, 5  
       triton_poi_fused_bitwise_not_masked_fill_view_15         0.00%       0.000us         0.00%       0.000us       0.000us     227.367us         0.41%     227.367us      28.421us             8                                                                                []  
                           triton_poi_fused__to_copy_12         0.00%       0.000us         0.00%       0.000us       0.000us     223.078us         0.41%     223.078us     111.539us             2                                                                                []  
                                               aten::mm         0.70%     437.363us         1.04%     646.698us      80.837us     116.913us         0.21%     116.913us      14.614us             8                                            [[2048, 256], [256, 256], [2048, 256]]  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     116.913us         0.21%     116.913us      14.614us             8                                                                                []  
triton_per_fused__to_copy__unsafe_view_add_bmm_clamp...         0.51%     318.953us         0.76%     474.215us      67.745us     114.323us         0.21%     114.323us      16.332us             7  [[1, 2048, 1], [2048, 256], [2048, 256], [1, 2048], [2048, 256], [256], [], [1,   
triton_per_fused__to_copy__unsafe_view_add_bmm_clamp...         0.00%       0.000us         0.00%       0.000us       0.000us     114.323us         0.21%     114.323us      16.332us             7                                                                                []  
                           triton_poi_fused__to_copy_12         0.02%       9.911us         0.03%      20.616us      20.616us     113.620us         0.21%     113.620us     113.620us             1                                              [[4, 256, 4096], [4, 256, 4096], []]  
                           triton_poi_fused__to_copy_12         0.02%      15.326us         0.05%      28.728us      28.728us     109.458us         0.20%     109.458us     109.458us             1                                                  [[16384, 256], [16384, 256], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 62.308ms
Self CUDA time total: 54.905ms
