tag=opt3_scanchunkwise_b512_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   full         0.00%       0.000us         0.00%       0.000us       0.000us     191.270ms       103.82%     191.270ms     191.270ms             1                                                                                []  
## Call CompiledFxGraph ft7kuncjyggj3kj55bjfmf2yv6t3...         0.00%       0.000us         0.00%       0.000us       0.000us     118.232ms        64.17%     118.232ms     118.232ms             1                                                                                []  
autograd::engine::evaluate_function: CompiledFunctio...         0.01%      34.485us        17.88%      43.550ms      43.550ms       0.000us         0.00%     116.808ms     116.808ms             1                                                                                []  
                               CompiledFunctionBackward         0.21%     515.323us        17.87%      43.516ms      43.516ms       0.000us         0.00%     116.808ms     116.808ms             1                                                                 [[1, 2048, 8192]]  
## Call CompiledFxGraph ft7kuncjyggj3kj55bjfmf2yv6t3...         6.91%      16.827ms        17.66%      43.000ms      43.000ms       0.000us         0.00%     116.808ms     116.808ms             1                                                                                []  
                                                   full        19.68%      47.926ms        49.59%     120.783ms     120.783ms       0.000us         0.00%      66.026ms      66.026ms             1                                                                                []  
## Call CompiledFxGraph f2qjapiyvbmow566qojfth556w5r...         0.00%       0.000us         0.00%       0.000us       0.000us      63.755ms        34.60%      63.755ms      63.755ms             1                                                                                []  
                             Torch-Compiled Region: 0/0         0.09%     224.387us         8.85%      21.564ms      21.564ms       0.000us         0.00%      61.785ms      61.785ms             1                                                                                []  
                             Torch-Compiled Region: 1/1         0.11%     257.058us         8.41%      20.477ms      20.477ms       0.000us         0.00%      61.728ms      61.728ms             1                                                                                []  
                                       CompiledFunction         0.17%     412.117us         8.28%      20.175ms      20.175ms       0.000us         0.00%      61.728ms      61.728ms             1  [[8192, 256], [1, 2048], [1, 2048, 2048], [4, 256, 4096], [1, 2048], [2048], [51  
## Call CompiledFxGraph f2qjapiyvbmow566qojfth556w5r...         3.46%       8.436ms         8.11%      19.751ms      19.751ms       0.000us         0.00%      61.728ms      61.728ms             1                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      30.066ms        16.32%      30.066ms     196.510us           153                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      29.766ms        16.16%      29.766ms     263.419us           113                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      22.689ms        12.32%      22.689ms     200.791us           113                                                                                []  
triton_poi_fused__to_copy_add_cos_masked_fill_mul_ne...         0.23%     551.867us         0.34%     834.524us     104.315us      14.814ms         8.04%      14.814ms       1.852ms             8  [[1, 2048, 4, 4096], [1, 2048, 4, 4096], [2048, 16384], [1, 4, 2048, 4096], [1,   
triton_poi_fused__to_copy_add_cos_masked_fill_mul_ne...         0.00%       0.000us         0.00%       0.000us       0.000us      14.814ms         8.04%      14.814ms       1.852ms             8                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.592ms         7.38%      13.592ms     339.801us            40                                                                                []  
triton_poi_fused_add_permute_slice_backward_squeeze_...         0.22%     533.298us         0.30%     733.492us      91.687us      12.421ms         6.74%      12.421ms       1.553ms             8  [[1, 4, 2048, 4096], [4, 512, 4096], [4, 512, 4096], [4, 4096, 512], [4, 4096, 5  
triton_poi_fused_add_permute_slice_backward_squeeze_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.421ms         6.74%      12.421ms       1.553ms             8                                                                                []  
                                               aten::mm         0.12%     302.051us         0.25%     606.662us      37.916us      11.216ms         6.09%      11.216ms     700.999us            16                                        [[2048, 256], [256, 16384], [2048, 16384]]  
triton_poi_fused_masked_fill_mul_permute_relu_thresh...         0.09%     224.123us         0.17%     408.252us      51.032us      11.100ms         6.02%      11.100ms       1.388ms             8           [[4, 2048, 4096], [2048, 16384], [2048, 16384], [1, 4, 2048, 4096], []]  
triton_poi_fused_masked_fill_mul_permute_relu_thresh...         0.00%       0.000us         0.00%       0.000us       0.000us      11.100ms         6.02%      11.100ms       1.388ms             8                                                                                []  
                                              aten::bmm         0.22%     535.825us         0.48%       1.176ms      36.752us      11.023ms         5.98%      11.023ms     344.471us            32                                   [[4, 4096, 512], [4, 512, 512], [4, 4096, 512]]  
