tag=opt3_scanchunkwise_b512_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                               aten::mm         0.34%     832.783us         0.64%       1.555ms      97.217us      10.380ms         5.63%      10.380ms     648.735us            16                                        [[2048, 16384], [16384, 256], [2048, 256]]  
                                              aten::bmm         0.47%       1.146ms         0.84%       2.035ms      36.345us       9.966ms         5.41%       9.966ms     177.959us            56                                   [[4, 512, 4096], [4, 4096, 256], [4, 512, 256]]  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us       9.966ms         5.41%       9.966ms     177.959us            56                                                                                []  
                                              aten::bmm         0.23%     551.396us         0.47%       1.153ms      36.039us       9.618ms         5.22%       9.618ms     300.560us            32                                   [[4, 512, 512], [4, 512, 4096], [4, 512, 4096]]  
                                              aten::bmm         0.32%     785.274us         0.48%       1.161ms      36.295us       9.041ms         4.91%       9.041ms     282.534us            32                                   [[4, 512, 4096], [4, 4096, 512], [4, 512, 512]]  
              triton_poi_fused_mul_permute_relu_view_18         0.06%     134.615us         0.13%     311.927us      38.991us       7.857ms         4.26%       7.857ms     982.079us             8                          [[2048, 16384], [4, 2048, 4096], [1, 4, 2048, 4096], []]  
              triton_poi_fused_mul_permute_relu_view_18         0.00%       0.000us         0.00%       0.000us       0.000us       7.857ms         4.26%       7.857ms     982.079us             8                                                                                []  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.07%     177.054us         0.13%     326.457us      40.807us       7.475ms         4.06%       7.475ms     934.404us             8                     [[2048, 16384], [1, 2048], [2048], [1, 2048, 4, 2048, 2], []]  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.00%       0.000us         0.00%       0.000us       0.000us       7.475ms         4.06%       7.475ms     934.404us             8                                                                                []  
                                              aten::bmm         0.32%     773.392us         0.61%       1.489ms      31.016us       7.204ms         3.91%       7.204ms     150.084us            48                                   [[4, 4096, 512], [4, 512, 256], [4, 4096, 256]]  
                                              aten::bmm         0.09%     210.833us         0.15%     362.553us      45.319us       6.492ms         3.52%       6.492ms     811.490us             8                                 [[4, 2048, 256], [4, 256, 4096], [4, 2048, 4096]]  
                                              aten::bmm         0.10%     250.659us         0.17%     412.382us      51.548us       6.289ms         3.41%       6.289ms     786.121us             8                                 [[4, 256, 2048], [4, 2048, 4096], [4, 256, 4096]]  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       6.289ms         3.41%       6.289ms     786.121us             8                                                                                []  
                                              aten::bmm         0.19%     457.752us         0.37%     907.927us      28.373us       5.970ms         3.24%       5.970ms     186.549us            32                                   [[4, 512, 256], [4, 256, 4096], [4, 512, 4096]]  
    triton_poi_fused_mul_permute_relu_transpose_view_19         0.03%      72.759us         0.07%     174.708us      21.839us       5.305ms         2.88%       5.305ms     663.139us             8                                           [[1, 4, 2048, 4096], [2048, 16384], []]  
    triton_poi_fused_mul_permute_relu_transpose_view_19         0.00%       0.000us         0.00%       0.000us       0.000us       5.305ms         2.88%       5.305ms     663.139us             8                                                                                []  
                                              aten::bmm         0.15%     365.994us         0.31%     743.732us      30.989us       4.678ms         2.54%       4.678ms     194.920us            24                                   [[4, 4096, 256], [4, 256, 512], [4, 4096, 512]]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 243.544ms
Self CUDA time total: 184.238ms
