tag=opt3_scanchunkwise_b1024_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                              aten::bmm         0.08%     183.094us         0.13%     287.952us      35.994us       5.779ms         3.11%       5.779ms     722.335us             8                                 [[4, 2048, 256], [4, 256, 4096], [4, 2048, 4096]]  
                                              aten::bmm         0.15%     334.689us         0.23%     506.196us      31.637us       5.350ms         2.88%       5.350ms     334.365us            16                                 [[4, 4096, 1024], [4, 1024, 256], [4, 4096, 256]]  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.07%     148.444us         0.15%     337.776us      42.222us       5.328ms         2.87%       5.328ms     666.041us             8                     [[2048, 16384], [1, 2048], [2048], [1, 2048, 4, 2048, 2], []]  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.00%       0.000us         0.00%       0.000us       0.000us       5.328ms         2.87%       5.328ms     666.041us             8                                                                                []  
                                              aten::bmm         0.09%     199.842us         0.16%     353.143us      22.071us       4.925ms         2.65%       4.925ms     307.788us            16                                 [[4, 1024, 256], [4, 256, 4096], [4, 1024, 4096]]  
    triton_poi_fused_mul_permute_relu_transpose_view_18         0.04%      88.556us         0.09%     203.215us      25.402us       4.856ms         2.61%       4.856ms     606.982us             8                                           [[1, 4, 2048, 4096], [2048, 16384], []]  
    triton_poi_fused_mul_permute_relu_transpose_view_18         0.00%       0.000us         0.00%       0.000us       0.000us       4.856ms         2.61%       4.856ms     606.982us             8                                                                                []  
                                              aten::bmm         0.12%     272.672us         0.16%     361.879us      45.235us       4.521ms         2.43%       4.521ms     565.132us             8                                 [[4, 2048, 4096], [4, 4096, 256], [4, 2048, 256]]  
                                               aten::mm         0.05%     115.670us         0.09%     210.874us      26.359us       4.472ms         2.41%       4.472ms     558.964us             8                                        [[256, 2048], [2048, 16384], [256, 16384]]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 222.654ms
Self CUDA time total: 185.805ms
