tag=opt3_scanchunkwise_b1024_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                               aten::mm         0.25%     182.371us         0.51%     368.223us      46.028us     613.676us         0.94%     613.676us      76.710us             8                                          [[2048, 2048], [2048, 256], [2048, 256]]  
                   triton_poi_fused_masked_fill_view_14         0.30%     220.008us         0.60%     438.443us      27.403us     436.711us         0.67%     436.711us      27.294us            16                                            [[1, 4, 1024, 1024], [1024, 1024], []]  
                   triton_poi_fused_masked_fill_view_14         0.00%       0.000us         0.00%       0.000us       0.000us     436.711us         0.67%     436.711us      27.294us            16                                                                                []  
                                               aten::mm         0.18%     134.331us         0.32%     229.846us      28.731us     351.337us         0.54%     351.337us      43.917us             8                                          [[2048, 256], [256, 1040], [2048, 1040]]  
                                               aten::mm         0.17%     126.403us         0.35%     256.111us      32.014us     339.560us         0.52%     339.560us      42.445us             8                                          [[2048, 1040], [1040, 256], [2048, 256]]  
                                               aten::mm         0.01%       9.427us         0.02%      15.543us      15.543us     295.943us         0.45%     295.943us     295.943us             1                                          [[2048, 256], [256, 8192], [2048, 8192]]  
triton_per_fused__to_copy_add_cat_native_layer_norm_...         0.18%     130.801us         0.31%     226.791us      28.349us     254.343us         0.39%     254.343us      31.793us             8  [[1, 4, 2048, 1], [4, 1024, 256], [4, 1024, 256], [4, 1024, 256], [4, 1024, 256]  
triton_per_fused__to_copy_add_cat_native_layer_norm_...         0.00%       0.000us         0.00%       0.000us       0.000us     254.343us         0.39%     254.343us      31.793us             8                                                                                []  
                           triton_poi_fused__to_copy_11         0.00%       0.000us         0.00%       0.000us       0.000us     216.709us         0.33%     216.709us     108.354us             2                                                                                []  
                   triton_poi_fused_add_permute_view_15         0.15%     106.188us         0.26%     186.250us      23.281us     177.445us         0.27%     177.445us      22.181us             8                                                           [[1, 4, 4096, 256], []]  
                   triton_poi_fused_add_permute_view_15         0.00%       0.000us         0.00%       0.000us       0.000us     177.445us         0.27%     177.445us      22.181us             8                                                                                []  
                                               aten::mm         0.32%     233.827us         0.48%     346.274us      43.284us     132.002us         0.20%     132.002us      16.500us             8                                            [[2048, 256], [256, 256], [2048, 256]]  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     132.002us         0.20%     132.002us      16.500us             8                                                                                []  
triton_per_fused__to_copy__unsafe_view_add_bmm_clamp...         0.16%     120.129us         0.27%     197.507us      28.215us     111.427us         0.17%     111.427us      15.918us             7  [[1, 2048, 1], [2048, 256], [2048, 256], [1, 2048], [2048, 256], [256], [], [1,   
triton_per_fused__to_copy__unsafe_view_add_bmm_clamp...         0.00%       0.000us         0.00%       0.000us       0.000us     111.427us         0.17%     111.427us      15.918us             7                                                                                []  
                           triton_poi_fused__to_copy_11         0.01%       9.858us         0.02%      16.711us      16.711us     109.251us         0.17%     109.251us     109.251us             1                                              [[4, 256, 4096], [4, 256, 4096], []]  
                           triton_poi_fused__to_copy_11         0.01%       6.533us         0.02%      13.940us      13.940us     107.458us         0.16%     107.458us     107.458us             1                                                  [[16384, 256], [16384, 256], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 72.818ms
Self CUDA time total: 65.425ms
