tag=opt3_scanchunkwise_b1024_T2048_L8_compiled shape=T2048_L8 compiled=True
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
## Call CompiledFxGraph f774kz5m7unx3pw4wibmqohv3tfb...         0.00%       0.000us         0.00%       0.000us       0.000us      66.800ms       102.10%      66.800ms      66.800ms             1                                                                                []  
                                                    fwd         2.27%       1.650ms        26.61%      19.378ms      19.378ms       0.000us         0.00%      65.425ms      65.425ms             1                                                                                []  
                             Torch-Compiled Region: 0/0         0.35%     254.080us        24.15%      17.589ms      17.589ms       0.000us         0.00%      65.425ms      65.425ms             1                                                                                []  
                             Torch-Compiled Region: 1/0         0.23%     165.172us        18.50%      13.468ms      13.468ms       0.000us         0.00%      65.372ms      65.372ms             1                                                                                []  
                                       CompiledFunction         0.32%     234.053us        18.21%      13.263ms      13.263ms       0.000us         0.00%      65.372ms      65.372ms             1  [[8192, 256], [1, 2048], [1, 2048, 2048], [4, 256, 4096], [1, 2048], [2048], [4,  
## Call CompiledFxGraph f774kz5m7unx3pw4wibmqohv3tfb...         7.78%       5.667ms        17.88%      13.020ms      13.020ms       0.000us         0.00%      65.372ms      65.372ms             1                                                                                []  
                                              aten::bmm         0.37%     271.621us         0.59%     428.166us      26.760us      19.256ms        29.43%      19.256ms       1.204ms            16                               [[4, 1024, 4096], [4, 4096, 1024], [4, 1024, 1024]]  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      19.256ms        29.43%      19.256ms       1.204ms            16                                                                                []  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      16.133ms        24.66%      16.133ms     329.242us            49                                                                                []  
              triton_poi_fused_mul_permute_relu_view_17         0.15%     110.347us         0.29%     214.648us      26.831us       9.069ms        13.86%       9.069ms       1.134ms             8                          [[2048, 16384], [4, 2048, 4096], [1, 4, 2048, 4096], []]  
              triton_poi_fused_mul_permute_relu_view_17         0.00%       0.000us         0.00%       0.000us       0.000us       9.069ms        13.86%       9.069ms       1.134ms             8                                                                                []  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       6.719ms        10.27%       6.719ms     209.958us            32                                                                                []  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.17%     120.320us         0.29%     211.912us      26.489us       5.333ms         8.15%       5.333ms     666.595us             8                     [[2048, 16384], [1, 2048], [2048], [1, 2048, 4, 2048, 2], []]  
triton_poi_fused__to_copy_add_cos_mul_relu_remainder...         0.00%       0.000us         0.00%       0.000us       0.000us       5.333ms         8.15%       5.333ms     666.595us             8                                                                                []  
                                              aten::bmm         0.22%     161.147us         0.34%     247.918us      30.990us       5.118ms         7.82%       5.118ms     639.806us             8                                 [[4, 2048, 256], [4, 256, 4096], [4, 2048, 4096]]  
                                               aten::mm         0.20%     148.995us         0.33%     237.820us      29.727us       4.755ms         7.27%       4.755ms     594.317us             8                                        [[2048, 256], [256, 16384], [2048, 16384]]  
    triton_poi_fused_mul_permute_relu_transpose_view_18         0.10%      70.258us         0.21%     153.052us      19.131us       4.711ms         7.20%       4.711ms     588.881us             8                                           [[1, 4, 2048, 4096], [2048, 16384], []]  
    triton_poi_fused_mul_permute_relu_transpose_view_18         0.00%       0.000us         0.00%       0.000us       0.000us       4.711ms         7.20%       4.711ms     588.881us             8                                                                                []  
                                               aten::mm         0.25%     180.562us         0.49%     355.659us      44.457us       4.683ms         7.16%       4.683ms     585.373us             8                                        [[2048, 16384], [16384, 256], [2048, 256]]  
                                              aten::bmm         0.91%     663.843us         1.17%     851.640us      53.227us       4.535ms         6.93%       4.535ms     283.428us            16                                 [[4, 1024, 4096], [4, 4096, 256], [4, 1024, 256]]  
                                              aten::bmm         0.16%     115.076us         0.26%     186.794us      23.349us       2.267ms         3.47%       2.267ms     283.406us             8                                 [[4, 4096, 1024], [4, 1024, 256], [4, 4096, 256]]  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       2.267ms         3.47%       2.267ms     283.406us             8                                                                                []  
                                              aten::bmm         0.40%     292.149us         0.61%     446.811us      27.926us       2.184ms         3.34%       2.184ms     136.487us            16                                 [[4, 1024, 1024], [4, 1024, 256], [4, 1024, 256]]  
